Ozone,Nitrogen Oxide,PM2.5,PM10
110.54335,1.14753,10.762,17.165
104.26826,1.19742,8.729,14.265
60.19612,0.89807,7.553,10.702
60.31321,0.84817,6.691,9.434
52.48635,0.89807,6.01,9.252
50.58496,0.6985,5.61,8.653
53.89233,0.6486,5.742,9.141
0,0.59871,5.669,9.575
60.36517,1.1309,6.029,10.843
23.44598,41.51056,4.032,7.153
26.29481,41.11142,4.166,7.628
15.55408,51.48906,5.012,8.136
18.13144,51.33938,5.375,9.776
22.73056,50.49121,4.798,9.972
35.76524,41.80992,4.313,8.09
30.28804,44.554,3.712,7.435
18.24452,59.82111,2.815,5.941
18.79922,58.97294,3.054,6.293
11.0764,67.95359,2.909,5.387
17.47986,63.71272,2.924,4.551
16.55112,65.10971,2.415,4.226
25.81855,55.68003,2.772,5.773
17.53872,66.5566,3.82,7.384
16.16514,63.61294,6.187,10.601
20.54345,57.47616,1.933,3.375
32.20919,48.34583,1.03,1.796
22.2925,55.28089,0.901,1.678
16.10468,59.12261,0.778,1.373
5.97128,69.50025,0.501,0.82
5.86265,71.64563,0.788,1.216
9.31258,73.24219,1.864,2.804
0,70.64778,0.866,1.353
5.62632,64.12849,0.605,0.81
14.34831,46.94884,5.763,10.933
23.98848,39.61465,5.957,12.191
25.14521,38.21766,5.986,12.445
29.04141,36.5712,6.398,12.97
29.26085,39.56475,5.85,11.963
28.92517,41.11142,5.98,12.065
26.13473,44.40433,6.028,13.79
27.08508,41.46067,5.849,14.965
20.8924,49.84261,4.78,15.033
16.17712,55.28089,3.732,11.329
16.94916,54.43272,4.085,11.228
14.04338,57.47616,4.007,10.655
13.05583,57.02713,4.018,9.872
16.73044,51.18971,4.557,11.93
28.22679,42.15916,5.757,14.038
43.54048,25.54496,4.28,8.9
60.9541,11.9742,4.231,9.561
37.13856,35.52346,4.242,10.604
12.48766,57.82541,3,7.228
9.63552,58.22455,2.337,4.391
8.37667,57.42627,2.796,4.766
8.32213,62.26584,3.32,5.341
0,57.40964,3.715,6.277
9.78229,55.14784,3.582,5.802
62.67686,1.49678,15.363,22.138
63.62183,1.24731,14.71,24.298
62.8391,1.39699,12.198,24.863
66.01254,1.54667,14.127,24.58
63.00039,7.03484,7.645,15.16
59.8436,3.09334,8.234,18.11
54.94567,9.37979,7.37,18.42
